playerid,dates,handle,ggr,last_12months_segment,Target_CG,bonus
1272983,2/12/2019,327.55,150.55,high,Target,20
1283955,10/14/2019,327.4,-95.35,low,Target,5
1179678,8/4/2019,327,102.4,low,Target,5
1178832,6/6/2019,326.85,10.2,medium,Target,10
1286019,8/12/2019,326.27,50.02,medium,Target,10
1251036,6/21/2019,326.2,-15.15,medium,Control Group,0
1194792,6/10/2019,326.2,148.76,high,Target,20
1201401,4/24/2019,326.2,49.98,low,Target,5
1178832,11/13/2019,326.18,70.02,medium,Target,10
1178832,3/12/2019,326.1,-90.48,medium,Target,10
1187561,10/8/2019,326.05,32.58,high,Target,20
1170277,1/22/2020,326,104.1,high,Target,20
1148935,6/12/2019,325.86,20.11,medium,Target,10
1133225,5/29/2019,325.6,-74.54,medium,Target,10
1241121,8/21/2019,325.42,-3971.73,high,Target,20
1179943,1/8/2020,325,-50,low,Target,5
1299413,12/27/2019,324.98,52.97,medium,Target,10
1271992,3/24/2019,324.9,70.63,low,Target,5
1158039,6/20/2019,324.6,105.18,vip,Target,50
1283078,4/17/2019,324.45,69.29,medium,Target,10
1171041,5/14/2019,324.2,124.86,high,Target,20
1167420,5/9/2019,324,109.98,vip,Control Group,0
1160970,9/15/2019,324,-30.05,low,Control Group,0
1133225,3/16/2019,323.84,70.09,medium,Target,10
1194792,6/16/2019,323.84,122.34,high,Target,20
1136220,2/3/2019,323.6,55.14,medium,Control Group,0
1178832,11/22/2019,323.48,-74.59,medium,Target,10
1160970,8/25/2019,323.45,40.45,low,Control Group,0
1174496,10/3/2019,323.45,49.44,low,Control Group,0
1128604,2/3/2019,323.3,49.75,medium,Target,10
1406090,12/20/2019,323.25,75.09,medium,Control Group,0
1178832,8/12/2019,323.1,-69.99,medium,Target,10
1251036,7/13/2019,323.1,19.7,medium,Control Group,0
1232188,5/25/2019,322.9,40.5,vip,Target,50
1167618,7/28/2019,322.9,-69.87,low,Target,5
1171041,4/11/2019,322.8,15.25,high,Target,20
1170277,1/5/2020,322.5,186.8,high,Target,20
1170785,5/6/2019,322.46,149.98,medium,Target,10
1164847,5/12/2019,322.44,57.97,high,Target,20
1178832,2/9/2019,322.42,50,medium,Target,10
1128604,7/19/2019,322.4,27.09,medium,Target,10
1128453,1/22/2019,322.15,115.71,low,Target,5
1425424,1/20/2020,321.88,120.73,low,Target,5
1158039,1/29/2020,321.8,105.96,vip,Target,50
1233289,7/23/2019,321.6,8.74,medium,Target,10
1297604,10/13/2019,321.2,100.25,medium,Target,10
1128604,8/13/2019,320.9,39.99,medium,Target,10
1164847,8/5/2019,320.85,135.46,high,Target,20
1164847,10/31/2019,320.7,60.12,high,Target,20
1160970,3/22/2019,320,14.9,low,Control Group,0
1269553,3/3/2019,320,28,medium,Target,10
1212002,7/31/2019,320,150,medium,Target,10
1406589,11/10/2019,320,55,low,Target,5
1170277,12/9/2019,320,97.1,high,Target,20
1187561,2/27/2019,319.75,141.45,high,Target,20
1131401,1/9/2020,319.7,115.05,medium,Target,10
1139939,4/18/2019,319.35,103.99,low,Target,5
1170277,2/5/2019,319,123.28,high,Target,20
1217510,10/13/2019,318.87,32.98,high,Control Group,0
1163523,3/27/2019,318.8,50.05,high,Target,20
1194792,3/24/2019,318.56,-115.74,high,Target,20
1244748,3/5/2019,318.4,80,medium,Target,10
1191861,4/21/2019,318.34,125.09,low,Target,5
1204304,4/4/2019,318.3,9.95,low,Target,5
1231623,1/12/2020,318,41.35,low,Target,5
1218039,4/24/2019,317.8,149.27,low,Target,5
1194792,6/13/2019,317.76,-97.7,high,Target,20
1237560,6/12/2019,317.5,128.55,vip,Control Group,0
1148931,5/30/2019,317.34,109.87,medium,Target,10
